season_number,season_date,season_time,market_fmid
291,1,05/06/2018 to 12/16/2018,Sun: 10:00 AM-1:00 PM;,1005940
292,1,07/05/2018 to 10/25/2018,Thu: 3:00 PM-6:00 PM;,1005941
293,1,01/01/2018 to 04/01/2018,Sat: 10:00 AM-1:00 PM;,1019206
294,1,04/07/2018 to 12/15/2018,Sat: 9:00 AM-1:00 PM;,1005943
295,1,01/01/2021 to 01/01/2021,Sun: 8:00 AM-1:00 PM;,1002106
296,1,05/26/2018 to 09/08/2018,Sat: 9:00 AM-1:00 PM;,1019061
297,1,06/01/2021 to 06/01/2021,Sat: 8:00 AM-1:00 PM;,1000579
298,1,06/06/2020 to 09/26/2020,Sat: 8:00 AM-12:00 PM;,1019840
299,1,04/17/2021 to 04/17/2021,Sat: 8:00 AM-11:30 PM;,1021441
300,1,04/07/2018 to 10/27/2018,Sat: 9:00 AM-1:00 PM;,1019110
301,1,05/09/2020 to 10/10/2020,Sun: 8:30 AM-11:30 AM;,1019741
302,1,04/01/2021 to 04/01/2021,Sat: 9:00 AM-1:00 PM;,1019704
303,1,06/04/2018 to 10/29/2018,Mon: 2:00 PM-5:00 PM;,1018381
304,1,06/04/2020 to 10/01/2020,Thu: 10:00 AM-4:00 PM;,1019823
305,1,04/25/2020 to 11/21/2020,Sat: 9:00 AM-12:00 PM;,1019763
306,1,01/01/2015 to 12/31/2015,Wed: 10:00 AM-1:00 PM;,1000549
307,1,06/03/2021 to 06/03/2021,Thu: 10:30 AM-1:30 PM;,1002808
308,1,07/15/2019 to 11/25/2020,Mon: 12:00 PM-6:00 PM;Wed: 12:00 PM-6:00 PM;Fri: 12:00 PM-6:00 PM;,1019474
309,1,11/04/2017 to 05/05/2018,Sat: 9:00 AM-12:00 PM;,1018969
310,1,05/13/2020 to 11/07/2020,Sat: 8:30 AM-12:30 PM;,1019821
311,1,04/01/2020 to 12/19/2020,Sat: 9:00 AM-1:00 PM;,1020135
312,1,04/01/2020 to 12/23/2020,,1020137
313,1,05/28/2020 to 05/28/2020,Thu: 4:00 PM-7:00 PM;,1021232
314,1,06/06/2021 to 06/06/2021,Sun: 10:00 AM-1:00 PM;,1001290
315,1,06/13/2020 to 10/17/2020,Sat: 9:00 AM-1:00 PM;,1000210
316,1,06/10/2020 to 10/07/2020,Wed: 3:00 PM-7:00 PM;,1009656
317,1,04/03/2021 to 04/03/2021,Sat: 8:00 AM-12:00 PM;,1019790
318,2,11/06/2021 to 11/06/2021,Sat: 9:00 AM-12:00 PM;,1019790
319,3,06/01/2021 to 06/01/2021,Tue: 10:00 AM-1:00 PM;Thu: 3:00 AM-6:00 PM;,1019790
320,1,01/01/2018 to 12/31/2018,Wed: 11:00 AM-5:00 PM;Sat: 11:00 AM-5:00 PM;,1010758
321,1,05/04/2019 to 10/26/2019,Sat: 7:00 AM-12:00 PM;,1019483
322,1,05/20/2021 to 05/20/2021,Thu: 4:00 PM-6:30 PM;,1019199
323,1,06/04/2020 to 09/24/2020,Thu: 4:00 PM-7:00 PM;,1020124
324,1,01/01/2018 to 12/31/2018,Mon: 9:00 AM-5:30 PM;Tue: 9:00 AM-5:30 PM;Wed: 9:00 AM-5:30 PM;Thu: 9:00 AM-5:30 PM;Fri: 9:00 AM-5:30 PM;Sat: 9:00 AM-5:30 PM;Sun: 10:00 AM-4:00 PM;,1011003
325,2,01/01/2018 to 12/31/2018,Mon: 9:00 AM-5:30 PM;Tue: 9:00 AM-5:30 PM;Wed: 9:00 AM-5:30 PM;Thu: 9:00 AM-5:30 PM;Fri: 9:00 AM-6:00 PM;Sat: 9:00 AM-5:30 PM;Sun: 10:00 AM-5:00 PM;,1011003
326,1,05/03/2021 to 05/03/2021,Mon: 1:00 PM-4:00 PM;,1021541
327,1,06/01/2019 to 10/31/2019,Thu: 3:00 PM-7:00 PM;,1019592
328,1,06/12/2018 to 10/30/2018,Tue: 10:00 AM-2:00 PM;Fri: 10:00 AM-2:00 PM;,1019042
329,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-1:00 PM;,1012030
330,1,04/24/2021 to 04/24/2021,Sat: 7:00 AM-12:00 PM;,1021396
331,1,05/02/2018 to 10/31/2018,Wed: 9:00 AM-2:00 PM;,1006766
332,1,05/06/2019 to 10/07/2019,Mon: 5:00 PM-7:00 PM;,1018190
333,1,06/03/2022 to 06/03/2022,Fri: 4:00 PM-8:00 PM;,1021639
334,1,01/01/2019 to 12/31/2019,Wed: 5:00 PM-8:00 PM;,1012666
335,1,06/02/2018 to 10/27/2018,Sat: 7:30 AM-12:00 PM;,1008959
336,1,04/16/2022 to 04/16/2022,Wed: 9:00 AM-1:00 PM;Sat: 9:00 AM-1:00 PM;,1021691
337,2,12/03/2022 to 12/03/2022,Sat: 10:00 AM-2:00 PM;,1021691
338,1,06/03/2020 to ,Wed: 4:30 PM-7:30 PM;,1018629
339,1,01/17/2018 to 12/21/2019,Sat: 8:00 AM-11:00 AM;,1010975
340,1,01/01/2020 to 01/01/2020,Thu: 4:00 PM-6:00 PM;,1004382
341,2,01/01/2021 to 01/01/2021,Thu: 4:00 PM-6:00 PM;,1004382
342,1,01/01/2020 to 12/31/2020,Sat: 8:00 AM-11:00 AM;,1018221
343,1,06/20/2019 to 10/03/2019,Thu: 2:00 PM-8:00 PM;,1000368
344,1,06/06/2019 to 08/29/2019,Thu: 4:00 PM-7:00 PM;,1019530
345,1,04/20/2019 to 10/26/2019,Sat: 9:00 AM-12:00 PM;,1019529
346,1,01/01/2019 to 12/31/2019,Sun: 10:00 AM-2:00 PM;,1019531
347,1,11/03/2018 to 04/06/2019,Sat: 9:00 AM-12:00 PM;,1019258
348,1,06/02/2019 to 10/27/2019,Sun: 11:00 AM-2:00 PM;,1019325
349,1,05/05/2018 to 10/27/2018,Sat: 9:00 AM-1:00 PM;,1019296
350,2,11/03/2018,Sat: 9:00 AM-1:00 PM;,1019296
351,1,01/01/2016 to 12/31/2016,Sat: 8:00 AM-12:00 PM;,1012552
352,2,06/01/2016 to 09/28/2016,Wed: 8:00 AM-12:00 PM;,1012552
353,1,06/23/2021 to 06/23/2021,Wed: 4:30 PM-6:30 PM;,1009993
354,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-1:00 PM;,1021330
355,1,11/27/2021 to 11/27/2021,Sat: 10:00 AM-2:00 PM;,1021331
356,1,01/01/2020 to 12/31/2020,Sat: 10:00 AM-3:00 PM;,1021227
357,1,01/01/2018 to 12/31/2018,Tue: 9:00 AM-1:00 PM;,1019260
358,1,10/17/2018 to 07/10/2019,Wed: 1:00 PM-5:00 PM;,1019261
359,1,01/01/2018 to 12/31/2018,Tue: 9:00 AM-1:00 PM;,1019262
360,1,06/19/2021 to 06/19/2021,Sat: 9:00 AM-1:00 PM;,1002470
361,1,04/18/2018 to 11/28/2018,Wed: 11:00 AM-3:00 PM;,1012365
362,1,06/05/2021 to 06/05/2021,Sat: 8:00 AM-1:00 PM;,1001869
363,1,01/01/2021 to 01/01/2021,Tue: 2:00 AM-7:00 PM;,1021346
364,1,01/01/2019 to 12/31/2019,Tue: 5:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;,1019701
365,1,11/02/2019 to 04/18/2020,Sat: 9:00 AM-1:00 PM;,1019702
366,1,05/02/2020 to 09/26/2020,Sat: 8:00 AM-12:00 PM;,1020109
367,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-12:00 PM;,1021387
368,1,07/12/2019 to 10/04/2019,Fri: 4:00 PM-7:00 PM;,1019539
369,1,06/12/2021 to 06/12/2021,Mon: 7:00 AM-12:00 PM;Wed: 7:00 AM-12:00 PM;Sat: 7:00 AM-12:00 PM;,1021408
370,1,05/01/2018 to 10/31/2018,Sun: 8:00 AM-12:00 PM;,1019163
371,1,05/01/2018 to 10/01/2018,Sat: 8:00 AM-12:00 PM;,1012505
372,1,06/01/2021 to 06/01/2021,Fri: 4:00 PM-6:00 PM;,1019880
373,1,07/19/2018 to 10/18/2018,Thu: 4:00 PM-6:00 PM;,1012254
374,1,06/02/2018 to 09/29/2018,Sat: 10:00 AM-1:00 PM;,1019100
375,1,04/24/2021 to 04/24/2021,Sat: 8:00 AM-12:00 PM;,1021457
376,1,06/01/2018 to 09/28/2018,Fri: 2:00 PM-7:00 PM;,1018945
377,1,05/01/2021 to 05/01/2021,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-11:00 AM;,1021570
378,1,06/05/2018 to 10/16/2018,Tue: 3:00 PM-6:00 PM;,1012296
379,1,06/03/2021 to 06/03/2021,Thu: 10:00 AM-2:00 PM;,1011103
380,1,05/06/2018 to 09/30/2018,Sun: 8:00 AM-12:00 PM;,1002536
381,1,08/13/2020 to 09/24/2020,Thu: 5:00 PM-8:00 PM;,1020061
382,1,02/06/2021 to 02/06/2021,Sat: 9:00 AM-1:00 PM;,1018416
383,1,05/05/2018 to 12/22/2018,Sun: 9:00 AM-1:00 PM;,1019308
384,1,10/31/2020 to 05/01/2020,Sat: 9:00 AM-2:00 PM;,1020191
385,1,06/12/2021 to 06/12/2021,Sat: 11:00 AM-3:00 PM;,1021591
386,1,04/02/2022 to 04/02/2022,Sat: 9:00 AM-1:00 PM;,1021649
387,1,06/02/2018 to 09/29/2018,Sat: 10:00 AM-2:00 PM;,1007255
388,1,05/03/2014 to 05/03/2014,Tue: 2:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,1003628
389,1,01/01/2021 to 01/01/2021,Sun: 10:00 AM-1:00 PM;,1021318
390,1,09/01/2012 to ,Sat: 8:00 AM-12:00 PM;,1021261
391,1,05/12/2018 to 10/13/2018,Sun: 8:00 AM-12:00 PM;,1018958
392,1,06/03/2021 to 06/03/2021,Thu: 3:00 PM-7:00 PM;,1019458
393,2,10/07/2021 to 10/07/2021,Thu: 3:00 PM-6:00 PM;,1019458
394,1,04/01/2020 to ,Wed: 3:30 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;,1018816
395,1,05/16/2020 to 10/31/2020,Sat: 8:00 AM-12:00 PM;,1019742
396,1,07/26/2019 to 10/27/2019,Fri: 4:00 PM-7:00 PM;Sat: 1:00 PM-5:00 PM;Sun: 1:00 PM-5:00 PM;,1019439
397,1,07/18/2017 to 10/10/2017,Tue: 11:30 AM-1:30 PM;,1018706
398,1,06/06/2020 to 10/31/2020,Sat: 9:00 AM-12:00 PM;,1020111
399,1,05/05/2021 to 05/05/2021,Wed: 2:00 PM-6:00 PM;,1003046
400,1,06/06/2018 to 10/03/2018,Wed: 2:30 PM-6:00 PM;,1009829
401,1,05/15/2021 to 05/15/2021,Sat: 9:00 AM-3:00 PM;,1009894
402,1,05/09/2021 to 05/09/2021,Sun: 9:00 AM-2:00 PM;,1021296
403,1,04/24/2021 to 04/24/2021,Sat: 8:30 AM-1:00 PM;,1010954
404,1,01/09/2021 to 01/09/2021,Sat: 9:00 AM-1:00 PM;,1016793
405,1,03/07/2021 to 03/07/2021,Sun: 10:00 AM-3:00 PM;,1010969
406,1,01/09/2021 to 01/09/2021,Sun: 10:00 AM-3:00 PM;,1010972
407,2,05/15/2021 to 05/15/2021,Sat: 9:00 AM-3:00 PM;,1010972
408,1,06/11/2021 to 06/11/2021,Fri: 9:00 AM-2:00 PM;,1010958
409,1,01/01/2021 to 01/01/2021,Sat: 9:00 AM-1:00 PM;,1016792
410,2,05/08/2021 to 05/08/2021,Sat: 8:30 AM-1:00 PM;,1016792
411,1,01/01/2021 to 01/01/2021,Sun: 10:00 AM-3:00 PM;,1009895
412,1,06/11/2021 to 06/11/2021,Fri: 8:30 AM-4:00 PM;,1010982
413,1,05/09/2021 to 05/09/2021,Sun: 8:30 AM-2:00 PM;,1010960
414,1,05/01/2018 to 12/01/2018,Sat: 9:00 AM-1:00 PM;,1016867
415,2,01/01/2019 to 04/01/2019,Sat: 10:00 AM-12:00 PM;,1016867
416,1,01/01/2019 to 12/31/2019,Thu: 4:00 PM-7:00 PM;,1019667
417,1,04/02/2021 to 04/02/2021,Fri: 3:00 PM-7:00 PM;,1009043
418,1,05/07/2016 to 10/29/2016,Sat: 8:00 AM-1:00 PM;,1003643
419,1,01/01/2020 to 12/31/2020,Sun: 10:00 AM-3:00 PM;,1020064
420,1,05/08/2021 to 05/08/2021,Sat: 7:30 AM-12:00 PM;,1020000
421,1,November 21 to April 17,Sat: 10:00 AM-12:00 PM;,1020001
422,1,04/20/2019 to 10/05/2019,Thu: 5:00 PM-8:00 PM;Sat: 8:00 AM-12:00 PM;,1019370
423,1,04/02/2020 to 09/24/2020,Thu: 6:00 PM-9:00 PM;,1019944
424,1,04/21/2018 to 10/27/2018,Wed: 3:00 PM-6:00 PM;Sat: 9:00 AM-12:00 PM;,1000841
425,1,06/05/2020 to 10/01/2020,Fri: 3:00 PM-7:00 PM;,1019401
426,1,05/01/2021 to 05/01/2021,Sat: 7:30 AM-1:00 PM;,1021631
427,1,05/01/2018 to 09/29/2018,Fri: 8:00 AM-1:00 PM;,1008853
428,1,05/19/2018 to 10/27/2018,Sat: 7:00 AM-12:00 PM;,1002400
429,1,05/17/2018 to 10/18/2018,Thu: 4:00 PM-6:00 PM;,1019032
430,1,05/23/2020 to 10/31/2020,Sat: 7:00 AM-12:00 PM;,1019856
431,1,01/01/2018 to 12/31/2018,Sat: 8:00 AM-12:00 PM;,1019216
432,1,05/12/2018 to 10/27/2018,Sat: 8:00 AM-12:00 PM;,1012243
433,1,06/06/2018 to 09/26/2018,Wed: 11:00 AM-3:00 PM;,1012256
434,1,05/25/2019 to 10/26/2019,Sat: 7:00 AM-12:00 PM;,1019654
435,1,05/04/2019 to 09/21/2019,Sat: 9:00 AM-1:00 PM;,1019341
436,1,05/29/2018 to 10/09/2018,Tue: 3:00 PM-6:30 PM;,1019083
437,1,06/01/2021 to 06/01/2021,Tue: 3:00 PM-6:00 PM;,1009757
438,1,05/25/2019 to 10/26/2019,Sat: 9:00 AM-1:00 PM;,1018930
439,2,11/02/2019 to 12/14/2019,Sat: 9:00 AM-1:00 PM;,1018930
440,1,05/04/2019 to 10/26/2019,Sat: 9:00 AM-1:00 PM;,1003977
441,1,05/07/2019 to 09/24/2019,Tue: 4:00 PM-8:00 PM;,1018621
442,1,01/11/2020 to 04/25/2020,Sat: 9:00 AM-1:00 PM;,1019721
443,2,05/04/2019 to 12/19/2020,Sat: 8:00 AM-12:00 PM;,1019721
444,1,01/01/2022 to 01/01/2022,Sat: 8:00 AM-1:00 PM;,1021716
445,1,05/01/2021 to 05/01/2021,Sat: 8:00 AM-1:00 PM;,1021411
446,1,01/01/2018 to 12/31/2018,Wed: 1:00 PM-6:00 PM;,1005281
447,1,05/12/2019 to 10/27/2019,Sun: 9:00 AM-1:00 PM;,1019525
448,1,05/16/2020 to 10/17/2020,Thu: 2:00 PM-6:00 PM;Sat: 8:00 AM-12:00 PM;,1019729
449,1,06/05/2019 to 09/25/2019,Wed: 3:30 PM-7:30 PM;,1004676
450,1,05/01/2012 to 09/31/2012,Thu: 4:00 PM-8:00 PM;,1005358
451,2,04/05/2018 to 09/27/2018,Thu: 4:00 PM-8:00 PM;,1005358
452,1,05/02/2020 to 05/02/2020,Sat: 7:00 AM-12:00 PM;,1005197
453,1,07/14/2020 to 09/29/2020,Tue: 11:00 AM-1:00 PM;,1019994
454,1,05/08/2021 to 05/08/2021,Sat: 8:00 AM-12:00 PM;,1018953
455,2,10/02/2021 to 10/02/2021,Sat: 9:00 AM-12:00 PM;,1018953
456,1,04/04/2020 to 11/21/2020,Sat: 8:00 AM-12:00 PM;,1000312
457,2,12/05/2020 to 12/26/2020,Sat: 10:00 AM-12:00 PM;,1000312
458,3,04/22/2020 to 11/18/2020,Wed: 3:00 PM-6:00 PM;,1000312
459,1,06/04/2018 to 10/01/2018,Mon: 2:30 PM-6:00 PM;,1009830
460,1,05/06/2021 to 05/06/2021,Thu: 3:00 PM-7:00 PM;,1012345
461,1,06/01/2018 to 09/28/2018,Fri: 4:00 PM-8:00 PM;,1019082
462,1,05/30/2020 to 08/24/2020,Thu: 4:00 PM-7:00 PM;,1019870
463,1,01/01/2021 to 01/01/2021,Tue: 4:00 PM-7:00 PM;,1021275
464,1,04/13/2017 to 11/15/2018,Thu: 4:00 PM-8:00 PM;,1018159
465,1,07/07/2021 to 07/07/2021,Wed: 3:00 PM-6:30 PM;,1021303
466,1,10/23/2020 to 10/23/2020,Thu: 2:00 PM-6:00 PM;,1021414
467,1,01/01/2018 to 12/31/2018,Sun: 10:00 AM-2:00 PM;,1011673
468,2,01/01/2018 to 12/31/2018,Sun: 10:00 AM-2:00 PM;,1011673
469,1,06/13/2018 to 10/03/2018,Wed: 4:00 PM-7:00 PM;,1019079
470,1,01/01/2020 to 12/31/2020,Mon: 3:30 PM-7:30 PM;Thu: 3:30 PM-7:30 PM;,1020133
471,1,04/06/2021 to 04/06/2021,Tue: 3:30 PM-6:30 PM;,1011113
472,2,11/30/2021 to 11/30/2021,Tue: 3:00 PM-6:00 PM;,1011113
473,1,07/02/2019 to 10/29/2019,Tue: 12:00 PM-7:00 PM;,1019510
474,1,04/15/2020 to 11/25/2020,Wed: 11:00 AM-2:00 PM;,1020172
475,1,02/05/2020 to 12/30/2020,Wed: 4:00 PM-7:00 PM;,1012717
476,1,06/15/2018 to 10/12/2018,Fri: 2:30 PM-6:00 PM;,1019094
477,1,06/17/2021 to 06/17/2021,Thu: 10:00 AM-2:00 PM;,1021300
478,1,05/23/2018 to 10/24/2018,Wed: 3:00 PM-7:00 PM;,1019125
479,1,05/22/2022 to 05/22/2022,Sun: 10:00 AM-2:00 PM;,1021698
480,1,05/01/2021 to 05/01/2021,Sat: 9:00 AM-1:00 PM;,1009867
481,2,01/09/2021 to 01/09/2021,Sat: 10:00 AM-12:00 PM;,1009867
482,1,05/05/2019 to 09/29/2019,Sun: 1:00 PM-4:00 PM;,1019624
483,1,06/12/2022 to 06/12/2022,Sun: 10:00 AM-2:00 PM;,1021710
484,1,01/01/2020 to 12/31/2020,Fri: 3:00 PM-7:30 PM;,1021228
485,1,01/01/2021 to 01/01/2021,Sat: 8:00 AM-12:00 PM;,1012783
486,1,05/01/2021 to 05/01/2021,Sat: 9:00 AM-2:00 PM;,1012160
487,1,05/25/2018 to 10/26/2018,Fri: 9:00 AM-1:00 PM;,1019118
488,1,01/01/2022 to 01/01/2022,Sat: 8:00 AM-9:00 AM;Sun: 9:00 AM-1:00 PM;,1021652
489,1,05/20/2021 to 05/20/2021,Sun: 8:00 AM-1:00 PM;,1021574
490,1,07/09/2020 to 10/29/2020,Thu: 5:00 PM-9:00 PM;,1019936
491,1,05/26/2016 to 10/15/2020,Fri: 4:00 PM-6:00 PM;,1012634
492,1,01/01/2020 to 12/31/2020,Thu: 5:00 PM-8:00 PM;,1019921
493,1,05/29/2021 to 05/29/2021,Sat: 8:00 AM-12:00 PM;,1021587
494,1,05/12/2018 to 10/20/2018,Sat: 9:00 AM-12:00 PM;,1018900
495,1,06/09/2020 to ,Tue: 8:00 AM-1:00 PM;Fri: 8:00 AM-1:00 PM;,1020112
496,1,06/23/2018 to 10/06/2018,Sat: 9:30 AM-12:30 PM;,1018717
497,1,05/06/2018 to 11/25/2018,Sun: 10:00 AM-2:00 PM;,1002657
498,2,12/02/2018 to 12/30/2018,Sun: 10:00 AM-12:00 PM;,1002657
499,3,01/13/2019 to 04/28/2019,Sun: 10:00 AM-12:00 PM;,1002657
500,1,06/19/2021 to 06/19/2021,Sat: 9:00 AM-1:00 PM;,1002769
501,1,01/01/2021 to 01/01/2021,Sat: 10:00 AM-2:00 PM;,1019398
502,1,01/01/2016 to 12/31/2016,Sun: 8:00 AM-1:00 PM;,1012045
503,1,07/28/2018 to 09/29/2018,Sat: 9:00 AM-12:00 PM;,1018940
504,1,06/06/2019 to 09/26/2019,Thu: 3:30 PM-6:30 PM;,1019684
505,1,04/01/2017 to 10/28/2017,Sat: 8:00 AM-1:00 PM;,1018765
506,1,06/06/2019 to 09/26/2019,Thu: 3:00 PM-7:00 PM;,1019687
507,1,06/09/2014 to 06/09/2014,Mon: 10:00 AM-5:00 PM;,1006678
508,1,05/04/2019 to 09/28/2019,Sat: 11:00 AM-3:00 PM;,1003568
509,1,06/13/2020 to 09/26/2020,Sat: 10:00 AM-12:00 PM;,1020053
510,1,04/23/2020 to 11/24/2020,Thu: 8:00 AM-1:00 PM;,1019954
511,2,11/28/2020 to 12/31/2020,Thu: 9:00 AM-12:00 PM;,1019954
512,1,06/11/2022 to 06/11/2022,Sat: 9:00 AM-1:00 PM;,1010195
513,1,01/01/2019 to 12/31/2019,Fri: 9:00 AM-10:00 AM;,1005267
514,1,05/03/2018 to 10/25/2018,Thu: 2:30 PM-6:00 PM;,1007798
515,1,06/07/2018 to 10/25/2018,Thu: 3:00 AM-6:00 PM;,1019081
516,1,05/06/2020 to 10/14/2020,Wed: 4:00 PM-8:00 PM;,1018622
517,1,05/12/2018 to 10/27/2018,Sat: 8:00 AM-1:00 PM;,1019186
518,1,05/12/2018 to ,Sat: 8:00 AM-11:00 AM;,1019049
519,1,05/07/2019 to 10/15/2019,Tue: 3:00 PM-7:00 PM;,1018562
520,1,06/06/2019 to 08/01/2019,Thu: 4:00 PM-7:00 PM;,1019457
521,2,09/12/2019 to 10/10/2019,Thu: 4:00 PM-7:00 PM;,1019457
522,1,05/04/2019 to 10/26/2019,Sat: 8:00 AM-1:00 PM;,1010889
523,1,05/01/2020 to 10/30/2020,Fri: 4:00 PM-7:00 PM;,1019841
524,1,05/18/2021 to 05/18/2021,Tue: 5:00 PM-8:00 PM;,1021514
525,1,06/12/2019 to 09/25/2019,Wed: 3:30 PM-5:00 PM;,1019499
526,1,01/01/2019 to 12/31/2019,Wed: 8:30 AM-1:00 PM;Sat: 8:30 AM-1:00 PM;,1019523
527,1,05/04/2018 to 09/28/2018,Sat: 5:00 PM-8:00 PM;,1018937
528,1,06/04/2019 to 09/10/2019,Tue: 3:00 PM-6:00 PM;,1019436
529,1,06/04/2022 to 06/04/2022,Sat: 9:00 AM-1:00 PM;,1021666
530,1,05/30/2018 to 09/19/2018,Wed: 3:00 PM-7:00 PM;,1018131
531,1,03/20/2021 to 03/20/2021,Sat: 10:00 AM-1:00 PM;,1021388
532,2,05/01/2021 to 05/01/2021,Sat: 8:00 AM-12:00 PM;,1021388
533,3,07/03/2021 to 07/03/2021,Wed: 8:00 AM-12:00 PM;Sat: 8:00 AM-12:00 PM;,1021388
534,4,11/06/2021 to 11/06/2021,Sat: 10:00 AM-1:00 PM;,1021388
535,1,01/01/2020 to 12/31/2020,Thu: 12:00 PM-5:00 PM;,1005069
536,2,10/01/2012 to 12/31/2012,,1005069
537,1,04/24/2021 to 04/24/2021,Sat: 8:00 AM-1:00 PM;,1021404
538,1,04/03/2021 to 04/03/2021,Sat: 8:00 AM-12:00 PM;,1021620
539,2,11/06/2021 to 11/06/2021,Sat: 10:00 AM-12:00 PM;,1021620
540,1,01/01/2018 to 12/31/2018,Sat: 8:00 AM-1:00 PM;,1005159
541,1,05/22/2021 to 05/22/2021,Sat: 8:00 AM-1:00 PM;,1021538
542,1,01/01/2021 to 01/01/2021,Sat: 8:00 AM-12:00 PM;,1021581
543,1,04/02/2020 to 10/29/2020,Thu: 3:00 PM-5:30 PM;,1019993
544,1,04/04/2020 to 10/31/2020,Sat: 8:00 AM-1:00 PM;,1020079
545,1,04/04/2020 to 10/31/2020,Sat: 8:00 AM-1:00 PM;,1020080
546,1,01/16/2021 to 01/16/2021,Sun: 9:00 AM-1:00 PM;,1021595
547,1,01/01/2021 to 12/31/2021,Wed: 3:00 PM-7:00 PM;,1019862
548,1,07/15/2020 to 09/30/2020,Wed: 4:30 PM-6:30 PM;,1018427
549,1,12/23/2018 to 12/01/2020,Sun: 9:00 AM-2:00 PM;,1016870
550,1,05/08/2021 to 05/08/2021,Sat: 8:30 AM-12:00 PM;,1021460
551,1,05/02/2020 to 09/26/2020,Thu: 4:00 PM-7:00 PM;Sat: 9:00 AM-1:00 PM;,1019800
552,1,04/03/2018 to 11/20/2018,Tue: 4:00 AM-6:00 PM;,1012627
553,1,05/01/2018 to 10/30/2018,Tue: 2:30 PM-6:30 PM;,1002721
554,1,05/05/2018 to 10/20/2018,Sat: 8:00 AM-12:00 PM;,1018973
555,1,06/04/2022 to 06/04/2022,Sat: 9:00 AM-12:00 PM;,1021676
556,1,06/04/2022 to 06/04/2022,Sat: 8:00 AM-12:00 PM;,1021665
557,1,01/01/2020 to 12/31/2020,Tue: 10:00 AM-2:00 PM;Thu: 10:00 AM-2:00 PM;Sat: 8:00 AM-2:00 PM;,1020193
558,1,07/14/2018 to 10/13/2018,Wed: 3:00 PM-5:00 PM;Sat: 10:00 AM-2:00 PM;,1012308
559,1,05/02/2021 to 05/02/2021,Sun: 11:00 AM-2:00 PM;,1019771
560,1,06/09/2018 to 10/13/2018,Sat: 10:00 AM-1:00 PM;,1018193
561,1,01/01/2020 to 12/31/2020,Tue: 3:00 PM-7:00 PM;Fri: 3:00 PM-7:00 PM;,1020008
562,1,07/07/2019 to 08/18/2019,Sun: 11:00 AM-2:00 PM;,1019677
563,1,06/05/2019 to 10/23/2019,Wed: 9:30 AM-1:30 PM;,1004377
564,1,06/07/2020 to 10/25/2020,Sun: 9:00 AM-1:00 PM;,1019914
565,1,06/13/2020 to 10/31/2020,Tue: 2:00 PM-6:00 PM;Sat: 8:00 AM-1:00 PM;,1019897
566,1,05/30/2020 to 10/10/2020,Sat: 9:00 AM-1:00 PM;,1020091
567,1,08/16/2020 to 10/25/2020,Sun: 9:30 AM-1:30 PM;,1020065
568,1,05/08/2021 to 05/08/2021,Sat: 9:00 AM-12:00 PM;,1021453
569,2,06/26/2021 to 06/26/2021,Tue: 9:00 AM-2:00 PM;Thu: 9:00 AM-2:00 PM;Sat: 7:00 AM-2:00 PM;Sun: 9:00 AM-2:00 PM;,1021453
570,3,11/06/2021 to 11/06/2021,Sat: 9:00 AM-2:00 PM;,1021453
571,1,06/05/2018 to 09/25/2018,Tue: 5:00 PM-8:00 PM;,1019123
572,1,04/24/2021 to 04/24/2021,Sat: 8:00 AM-12:00 PM;,1000958
573,2,11/20/2021 to 11/20/2021,Sat: 8:00 AM-12:00 PM;,1000958
574,1,05/04/2022 to 05/04/2022,Wed: 4:00 PM-8:00 PM;,1021638
575,1,05/21/2021 to 05/21/2021,Fri: 4:00 PM-7:00 PM;,1021504
576,1,05/05/2020 to 10/27/2020,Tue: 4:00 PM-7:00 PM;,1002803
577,1,06/07/2018 to 09/27/2018,Thu: 4:00 PM-7:00 PM;,1018989
578,1,01/01/2022 to 01/01/2022,Sat: 7:00 AM-12:00 PM;,1021680
579,1,05/01/2018 to 11/23/2018,Thu: 4:00 PM-6:00 PM;Sat: 8:00 AM-10:00 AM;,1018505
580,2,11/01/2018 to 12/01/2019,Thu: 4:00 PM-6:00 PM;Sat: 9:00 AM-11:00 AM;,1018505
581,1,06/05/2018 to 09/25/2018,Tue: 4:00 PM-8:00 PM;,1019101
582,1,05/11/2019 to 05/11/2019,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-2:00 PM;,1002880
583,2,05/22/2021 to 05/22/2021,Wed: 3:00 PM-6:00 PM;Sat: 8:00 AM-2:00 PM;,1002880
584,1,04/24/2021 to 04/24/2021,Sat: 8:30 AM-12:00 PM;,1019298
585,2,05/04/2021 to 05/04/2021,Tue: 8:30 AM-12:00 PM;,1019298
586,3,01/09/2021 to 01/09/2021,Sat: 10:00 AM-11:30 AM;,1019298
587,1,05/12/2018 to 09/01/2018,Sat: 8:00 AM-12:00 PM;,1019147
588,1,06/01/2022 to 06/01/2022,Wed: 3:30 PM-6:30 PM;,1021654
589,1,04/25/2020 to ,Tue: 8:00 AM-4:00 PM;Sat: 8:00 AM-1:00 PM;,1020092
